04-21-2025 13:11 EDT,
Eastern Kentucky,51.32
Grand Valley State,173.49
Protect Trans Kids University,21.63
West Virginia,49.73
Virginia (UVA),102.65
Utah,51.32
Miami (FL),59.86
Protect Trans Kids University,102.65
Xavier,89.1
Michigan,23.61
Georgia,1064.57
Protect Trans Kids University,7.36
SZD U Gold Trans Ams,130.09
Michigan,134.48
University of West Florida,73.17
Washington,152
Protect Trans Kids University,17.59
Illinois,112.68
Miami (FL),19.5
Louisiana State (LSU),30.03
Stanford,1396.16
Georgia Tech,227.9
Michigan State,1026.58
Protect Trans Kids University,51.32
Louisiana State (LSU),51.4
Texas,349.07
Florida,1140.53
Duke,102.65
Ireland Rugby,30.04
Alabama,173
Maryland,359.3
Protect Trans Kids University,1344.83
Protect Trans Kids University,1026.58
Protect Trans Kids University,20.75
Colorado School of Mines,129.49
Dayton,102.65
Michigan,1344.83
Missouri (Mizzou),1036.85
North Texas,29.32
UCF (Central Florida),20.7
University of Chicago,20.53
Caltech,51.32
North Texas,29.32
Michigan,13.44
Michigan State,37.52
Boston College,169.38
Michigan,201.41
Georgia Tech,216.61
Wisconsin,58.57
Vanderbilt,414.22
Michigan,53.57
Slippery Rock,102.65
Pittsburgh (Pitt),102.65
Protect Trans Kids University,27.85
Michigan,52.4
Lakeland University,25.66
Michigan,201.41
Arkansas,59.79
Protect Trans Kids University,51.32
Boston College,600
Georgia,102.65
Michigan,63.64
Cal (Berkeley),95.47
Michigan,63.64
Oklahoma,24.66
Florida,31.93
Michigan,62
Syracuse,78.64
Michigan,63.64
Virginia Tech,138.83
Maryland,30.05
Wisconsin,1231.8
Ohio State,43.29
Ohio State,42.3
Colorado,188.89
University of South Dakota,30.05
Illinois,124.28
Ohio State,28.88
Michigan State,102.65
Boston College,769.94
Kentucky,27.88
Toledo,102.65
Davidson,44.14
Notre Dame,520.48
Ohio State,349.27
Alabama,69.94
Georgia,134.91
Michigan,13.7
Georgia Southern,203.57
Georgia,256.64
Michigan,13.54
Michigan,134.31
Indiana,20.53
Georgia State,78.7
Protect Trans Kids University,51.32
Michigan,134.48
Ireland Rugby,46
Michigan,256.64
UCSB,207.28
Ohio State,57.76
Michigan,155.01
Ohio,39.04
Protect Trans Kids University,25.66
Kalamazoo College,102.65
Auburn,118.05
Louisiana Lafayette,82.12
Virginia Tech,144.56
Protect Trans Kids University,184.68
Arkansas,153.98
Mississippi (Ole Miss),64.77
Cal (Berkeley),102.65
Protect Trans Kids University,718.61
Syracuse,45.62
Georgetown,199.87
Michigan,13.44
Kent State,291.24
Michigan,43.39
Kalamazoo College,102.65
Cal (Berkeley),923.92
Kalamazoo College,51.32
Northern Michigan,61.59
Protect Trans Kids University,251.51
Protect Trans Kids University,205.31
Protect Trans Kids University,15.39
Michigan,134.48
Michigan,134.48
Illinois,102.65
Protect Trans Kids University,33.17
Augustana University,20.68
Protect Trans Kids University,129.94
Nebraska,72.47
Wisconsin,205.31
Michigan,13.44
Illinois State,102.65
Naropa University,2463.72
South Carolina,17.59
Protect Trans Kids University,307.97
Muhlenberg College,92.11
Protect Trans Kids University,102.65
Washington & Lee,5132.94
Ohio,39.31
Wisconsin,102.65
Protect Trans Kids University,51.32
Indiana,67.75
Minnesota,122.69
Notre Dame,9.23
Protect Trans Kids University,51.32
Michigan,1344.84
George Mason,89.14
Purdue,205.31
UMass,22.16
Michigan,133.55
Texas Tech,51.32
Idaho,51.32
Ohio,393.18
South Carolina,34.16
Protect Trans Kids University,51.32
